PG_NAZIONE,CD_GRUPPO_INQUADRAMENTO,DT_INIZIO_VALIDITA,IM_DIARIA,CD_DIVISA,DT_FINE_VALIDITA,UTCR,UTUV,PG_VER_REC
64,"5","2006-07-04","83.92","EURO","2200-12-31","SYSTEM","SYSTEM","1"
64,"6","2006-07-04","83.92","EURO","2200-12-31","SYSTEM","SYSTEM","1"
64,"7","2006-07-04","108.33","EURO","2200-12-31","SYSTEM","SYSTEM","1"
64,"8","2006-07-04","108.33","EURO","2200-12-31","SYSTEM","SYSTEM","1"
66,"1","2006-07-04","83.15","EURO","2200-12-31","SYSTEM","SYSTEM","1"
66,"2","2006-07-04","89.26","EURO","2200-12-31","SYSTEM","SYSTEM","1"
66,"3","2006-07-04","83.15","EURO","2200-12-31","SYSTEM","SYSTEM","1"
66,"4","2006-07-04","77.05","EURO","2200-12-31","SYSTEM","SYSTEM","1"
66,"5","2006-07-04","68.66","EURO","2200-12-31","SYSTEM","SYSTEM","1"
66,"6","2006-07-04","68.66","EURO","2200-12-31","SYSTEM","SYSTEM","1"
66,"7","2006-07-04","89.26","EURO","2200-12-31","SYSTEM","SYSTEM","1"
66,"8","2006-07-04","89.26","EURO","2200-12-31","SYSTEM","SYSTEM","1"
67,"1","2006-07-04","144.94","EURO","2200-12-31","SYSTEM","SYSTEM","1"
67,"2","2006-07-04","150.29","EURO","2200-12-31","SYSTEM","SYSTEM","1"
67,"3","2006-07-04","144.94","EURO","2200-12-31","SYSTEM","SYSTEM","1"
67,"4","2006-07-04","139.61","EURO","2200-12-31","SYSTEM","SYSTEM","1"
67,"5","2006-07-04","117.48","EURO","2200-12-31","SYSTEM","SYSTEM","1"
67,"6","2006-07-04","117.48","EURO","2200-12-31","SYSTEM","SYSTEM","1"
67,"7","2006-07-04","150.29","EURO","2200-12-31","SYSTEM","SYSTEM","1"
67,"8","2006-07-04","150.29","EURO","2200-12-31","SYSTEM","SYSTEM","1"
68,"1","2006-07-04","102.22","EURO","2200-12-31","SYSTEM","SYSTEM","1"
68,"2","2006-07-04","109.09","EURO","2200-12-31","SYSTEM","SYSTEM","1"
68,"3","2006-07-04","102.22","EURO","2200-12-31","SYSTEM","SYSTEM","1"
68,"4","2006-07-04","95.36","EURO","2200-12-31","SYSTEM","SYSTEM","1"
68,"5","2006-07-04","83.15","EURO","2200-12-31","SYSTEM","SYSTEM","1"
68,"6","2006-07-04","83.15","EURO","2200-12-31","SYSTEM","SYSTEM","1"
68,"7","2006-07-04","109.09","EURO","2200-12-31","SYSTEM","SYSTEM","1"
68,"8","2006-07-04","109.09","EURO","2200-12-31","SYSTEM","SYSTEM","1"
69,"1","2006-07-04","95.36","EURO","2200-12-31","SYSTEM","SYSTEM","1"
69,"2","2006-07-04","103.75","EURO","2200-12-31","SYSTEM","SYSTEM","1"
69,"3","2006-07-04","95.36","EURO","2200-12-31","SYSTEM","SYSTEM","1"
69,"4","2006-07-04","89.26","EURO","2200-12-31","SYSTEM","SYSTEM","1"
69,"5","2006-07-04","80.86","EURO","2200-12-31","SYSTEM","SYSTEM","1"
69,"6","2006-07-04","80.86","EURO","2200-12-31","SYSTEM","SYSTEM","1"
69,"7","2006-07-04","103.75","EURO","2200-12-31","SYSTEM","SYSTEM","1"
69,"8","2006-07-04","103.75","EURO","2200-12-31","SYSTEM","SYSTEM","1"
70,"1","2006-07-04","111.38","EURO","2200-12-31","SYSTEM","SYSTEM","1"
70,"2","2006-07-04","117.48","EURO","2200-12-31","SYSTEM","SYSTEM","1"
70,"3","2006-07-04","111.38","EURO","2200-12-31","SYSTEM","SYSTEM","1"
70,"4","2006-07-04","105.28","EURO","2200-12-31","SYSTEM","SYSTEM","1"
70,"5","2006-07-04","91.54","EURO","2200-12-31","SYSTEM","SYSTEM","1"
70,"6","2006-07-04","91.54","EURO","2200-12-31","SYSTEM","SYSTEM","1"
70,"7","2006-07-04","117.48","EURO","2200-12-31","SYSTEM","SYSTEM","1"
70,"8","2006-07-04","117.48","EURO","2200-12-31","SYSTEM","SYSTEM","1"
71,"1","2006-07-04","67.14","EURO","2200-12-31","SYSTEM","SYSTEM","1"
71,"2","2006-07-04","70.94","EURO","2200-12-31","SYSTEM","SYSTEM","1"
71,"3","2006-07-04","67.14","EURO","2200-12-31","SYSTEM","SYSTEM","1"
71,"4","2006-07-04","63.32","EURO","2200-12-31","SYSTEM","SYSTEM","1"
71,"5","2006-07-04","54.17","EURO","2200-12-31","SYSTEM","SYSTEM","1"
71,"6","2006-07-04","54.17","EURO","2200-12-31","SYSTEM","SYSTEM","1"
71,"7","2006-07-04","70.94","EURO","2200-12-31","SYSTEM","SYSTEM","1"
71,"8","2006-07-04","70.94","EURO","2200-12-31","SYSTEM","SYSTEM","1"
72,"1","2006-07-04","90.02","EURO","2200-12-31","SYSTEM","SYSTEM","1"
72,"2","2006-07-04","94.6","EURO","2200-12-31","SYSTEM","SYSTEM","1"
72,"3","2006-07-04","90.02","EURO","2200-12-31","SYSTEM","SYSTEM","1"
72,"4","2006-07-04","85.44","EURO","2200-12-31","SYSTEM","SYSTEM","1"
72,"5","2006-07-04","72.47","EURO","2200-12-31","SYSTEM","SYSTEM","1"
72,"6","2006-07-04","72.47","EURO","2200-12-31","SYSTEM","SYSTEM","1"
72,"7","2006-07-04","94.6","EURO","2200-12-31","SYSTEM","SYSTEM","1"
72,"8","2006-07-04","94.6","EURO","2200-12-31","SYSTEM","SYSTEM","1"
73,"1","2006-07-04","99.18","EURO","2200-12-31","SYSTEM","SYSTEM","1"
73,"2","2006-07-04","105.28","EURO","2200-12-31","SYSTEM","SYSTEM","1"
73,"3","2006-07-04","99.18","EURO","2200-12-31","SYSTEM","SYSTEM","1"
73,"4","2006-07-04","93.83","EURO","2200-12-31","SYSTEM","SYSTEM","1"
73,"5","2006-07-04","83.92","EURO","2200-12-31","SYSTEM","SYSTEM","1"
73,"6","2006-07-04","83.92","EURO","2200-12-31","SYSTEM","SYSTEM","1"
73,"7","2006-07-04","105.28","EURO","2200-12-31","SYSTEM","SYSTEM","1"
73,"8","2006-07-04","105.28","EURO","2200-12-31","SYSTEM","SYSTEM","1"
74,"1","2006-07-04","83.15","EURO","2200-12-31","SYSTEM","SYSTEM","1"
74,"2","2006-07-04","89.26","EURO","2200-12-31","SYSTEM","SYSTEM","1"
74,"3","2006-07-04","83.15","EURO","2200-12-31","SYSTEM","SYSTEM","1"
74,"4","2006-07-04","77.05","EURO","2200-12-31","SYSTEM","SYSTEM","1"
74,"5","2006-07-04","68.66","EURO","2200-12-31","SYSTEM","SYSTEM","1"
74,"6","2006-07-04","68.66","EURO","2200-12-31","SYSTEM","SYSTEM","1"
74,"7","2006-07-04","89.26","EURO","2200-12-31","SYSTEM","SYSTEM","1"
74,"8","2006-07-04","89.26","EURO","2200-12-31","SYSTEM","SYSTEM","1"
75,"1","2006-07-04","83.15","EURO","2200-12-31","SYSTEM","SYSTEM","1"
75,"2","2006-07-04","89.26","EURO","2200-12-31","SYSTEM","SYSTEM","1"
75,"3","2006-07-04","83.15","EURO","2200-12-31","SYSTEM","SYSTEM","1"
75,"4","2006-07-04","77.05","EURO","2200-12-31","SYSTEM","SYSTEM","1"
75,"5","2006-07-04","68.66","EURO","2200-12-31","SYSTEM","SYSTEM","1"
75,"6","2006-07-04","68.66","EURO","2200-12-31","SYSTEM","SYSTEM","1"
75,"7","2006-07-04","89.26","EURO","2200-12-31","SYSTEM","SYSTEM","1"
75,"8","2006-07-04","89.26","EURO","2200-12-31","SYSTEM","SYSTEM","1"
76,"1","2006-07-04","135.03","EURO","2200-12-31","SYSTEM","SYSTEM","1"
76,"2","2006-07-04","141.9","EURO","2200-12-31","SYSTEM","SYSTEM","1"
76,"3","2006-07-04","135.03","EURO","2200-12-31","SYSTEM","SYSTEM","1"
76,"4","2006-07-04","128.16","EURO","2200-12-31","SYSTEM","SYSTEM","1"
76,"5","2006-07-04","109.09","EURO","2200-12-31","SYSTEM","SYSTEM","1"
