ABI,DS_ABI,TIPO
"03045","BANCA AKROS SPA","A"
"03047","BANCA CAPASSO ANTONIO B","A"
"03048","BANCA DEL PIEMONTE SPA","A"
"03049","BANCA ARDITI GALATI","A"
"03051","BARCLAYS BANK PLC","A"
"03053","BANCAPERTA S.P.A.","A"
"03054","BANCA UCB SPA","A"
"03055","BAYERISCHE LANDESBANK GIROZENTR.","A"
"03057","MERRILL LYNCH CAPITAL MARK.BANK","A"
"03058","CheBanca! S.p.A.","A"
"03059","BANCA CIS SPA","A"
"03060","BANCA BRIGNONE","A"
"03061","CITIBANK INTERNATIONAL PLC","A"
"03062","BANCA MEDIOLANUM","A"
"03063","COMPAGNIE BANCAIRE","A"
"03064","BANCA BOVIO CALDERARI","A"
"03067","BANCA CARIME SPA","A"
"03069","INTESABCI SPA","A"
"03071","BANCA MANAGER SPA","A"
"03073","BHW BAUSPARKASSE A.G.","A"
"03074","FINFINANCE S.A.","A"
"03075","BANCA GENERALI S.P.A.","A"
"03078","BANCA ARTIGIANATO E INDUSTRIA","A"
"03081","BAYERISCHE VEREINSBANK AG","A"
"03082","BANCA PROXIMA S.P.A.","A"
"03083","BANCA INTL GESTIONI-BIGEST","A"
"03084","BANCA CESARE PONTI","A"
"03085","CATERPILLAR","A"
"03086","BANCA INTERMED.MOBILIARE IMI SPA","A"
"03087","BANCA FINNAT EURAMERICA","A"
"03089","CREDIT SUISSE ITALIA","A"
"03090","ANTONVENETA ABN AMRO BANK","A"
"03091","BANK OF AMERICA INT.L LTD","A"
"03093","BANK OF CHINA","A"
"03095","COMMERZ BANK AG","A"
"03097","DEPFA BANK AG","A"
"03098","BANCA C.STEINHAUSLIN & C.","A"
"03099","FINEMERIO BANCA SPA","A"
"03101","BANQUE PSA FINANCE HOLDING S.A.","A"
"03102","ALETTI E C.BANCA INV.MOB.SPA","A"
"03103","RENAULT CREDIT INTERNATIONAL S.A.","A"
"03104","DEUTSCHE BANK S.P.A.","A"
"03105","VOLKSWAGEN BANK GMBH","A"
"03109","DIEBOL COMPUTER LEASING","A"
"03110","FARBANCA SPA","A"
"03111","BANCA LOMBARDA SPA","A"
"03113","CREDITO FONDIARIO TRENTO SPA","A"
"03114","CREDITO FONDIARIO BOLZANO SPA","A"
"03115","FINDOMESTIC BANCA SPA","A"
"03116","BANCA DEL CIMINO","A"
"03117","ON BANCA SPA","A"
"03118","BANCA DI LATINA","A"
"03119",,"A"
"03121","CARDINE BANCA SPA","A"
"03122","BANCA VALLE D'AOSTA AOSTA","A"
"03123","BANCA AGRILEASING SPA","A"
"03124","BANCA DEL FUCINO","A"
"03126","BANCA LEONARDO SPA","A"
"03127","UNIPOL BANCA SPA","A"
"03130","BANCA DELLA PROVINCIA DI NAPOLI","A"
"03131","UNICREDITO BANCA MOBILIARE SPA","A"
"03134","ALPENBANK AG.","A"
"03135","UNICREDITO ITALIANO","A"
"03136","BANCA LAVORO E PICCOLO RISPARMIO","A"
"03137","COMMERZITALIA","A"
"03138","BANCA REALE SPA","A"
"03139","BANCA SVILUPPO COOP.CRED.","A"
"03140","BANCA 121 SPA","A"
"03141","BANCA DI TREVISO","A"
"03142","SANPAOLO INVEST BANCA SPA","A"
"03145","BBBBANCA","M"
"03147","BOPI ROMA","A"
"03149","BER","A"
"03150","DEUTSCHE BANK MUTUI SPA","A"
"03151","HYPO TIROL BANK AG","A"
"03153","EUROHYPO AG-E.H.DER D.BANK","A"
"03157","BANK AUSTRIA A.G.","A"
"03158",,
"03159","INTRA PRIVATE BANK","A"
"03161","TRADINGLAB BANCA","A"
"03162",,
