TI_APPARTENENZA,TI_GESTIONE,CD_ELEMENTO_VOCE,CD_VOCE_EP,CD_VOCE_EP_CONTR,UTCR,UTUV,PG_VER_REC
"D","S","13033","C13033","P13033","SYSTEM","SYSTEM","1"
"D","S","22004","A22004","P22004","SYSTEM","SYSTEM","1"
"D","S","22008","A22008","P22008","SYSTEM","SYSTEM","1"
"D","S","31002","A31002B","P13115","SYSTEM","SYSTEM","1"
"C","E","21061","R21061","A21061","SYSTEM","SYSTEM","1"
"C","E","21012","R21012","A21012","SYSTEM","SYSTEM","1"
"C","E","21015","R21015","A21015","SYSTEM","SYSTEM","1"
"C","E","21017","R21017","A21017","SYSTEM","SYSTEM","1"
"C","E","21018","R21018","A21018","SYSTEM","SYSTEM","1"
"D","S","13049","C13049","P13049","SYSTEM","SYSTEM","1"
"D","S","13084","C13084","P13084","SYSTEM","SYSTEM","1"
"D","S","13104","C13104","P13104","SYSTEM","SYSTEM","1"
"D","S","13107","C13107","P13107","SYSTEM","SYSTEM","1"
"D","S","14004","C14004","P14004","SYSTEM","SYSTEM","1"
"D","S","14013","C14013","P14013","SYSTEM","SYSTEM","1"
"D","S","14015","C14015","P14015","SYSTEM","SYSTEM","1"
"D","S","13030","C13030","P13030","SYSTEM","SYSTEM","1"
"D","S","10007","C10007","P10007","SYSTEM","SYSTEM","1"
"D","S","10009","C10009","P10009","SYSTEM","SYSTEM","1"
"C","E","21027","R21027","A21027","SYSTEM","SYSTEM","1"
"C","E","21032","R21032","A21032","SYSTEM","SYSTEM","1"
"C","E","21033","R21033","A21033","SYSTEM","SYSTEM","1"
"C","E","21037","R21037","A21037","SYSTEM","SYSTEM","1"
"C","E","21058","R21058","A21058","SYSTEM","SYSTEM","1"
"C","E","31022","R31022","A31022","SYSTEM","SYSTEM","1"
"C","E","31024","R31024","A31024","SYSTEM","SYSTEM","1"
"C","E","35002","R35002","A35002","SYSTEM","SYSTEM","1"
"C","E","35005","R35005","A35005","SYSTEM","SYSTEM","1"
"C","E","35011","R35011","A35011","SYSTEM","SYSTEM","1"
"C","E","35012","R35012","A35012","SYSTEM","SYSTEM","1"
"C","E","35014","R35014","A35014","SYSTEM","SYSTEM","1"
"C","E","44003","R44003","A44003","SYSTEM","SYSTEM","1"
"C","E","44004","R44004","A44004","SYSTEM","SYSTEM","1"
"C","E","44010","R44010","A44010","SYSTEM","SYSTEM","1"
"C","E","44019","R44019","A44019","SYSTEM","SYSTEM","1"
"C","E","91004","A91004","A91004","SYSTEM","SYSTEM","1"
"C","E","91002","A91002","A91002","SYSTEM","SYSTEM","1"
