TI_APPARTENENZA,TI_GESTIONE,CD_ELEMENTO_VOCE,TI_GESTIONE_SIOPE,CD_SIOPE,UTCR,UTUV,PG_VER_REC
"D","S","13100","S","1030217001","SYSTEM","SYSTEM","1"
"D","S","13101","S","1030218001","SYSTEM","SYSTEM","1"
"D","S","13102","S","1030219001","SYSTEM","SYSTEM","1"
"D","S","13103","S","1030219003","SYSTEM","SYSTEM","1"
"D","S","13104","S","1030219004","SYSTEM","SYSTEM","1"
"D","S","13105","S","1030219007","SYSTEM","SYSTEM","1"
"D","S","13106","S","1030219010","SYSTEM","SYSTEM","1"
"D","S","13107","S","1030299002","SYSTEM","SYSTEM","1"
"D","S","13108","S","1030299003","SYSTEM","SYSTEM","1"
"D","S","13109","S","1030299005","SYSTEM","SYSTEM","1"
"D","S","13110","S","1030299005","SYSTEM","SYSTEM","1"
"D","S","13111","S","1030299005","SYSTEM","SYSTEM","1"
"D","S","13112","S","1030299009","SYSTEM","SYSTEM","1"
"D","S","13113","S","1030299010","SYSTEM","SYSTEM","1"
"D","S","13114","S","1030299011","SYSTEM","SYSTEM","1"
"D","S","13115","S","1030299999","SYSTEM","SYSTEM","1"
"D","S","13116","S","1030211006","SYSTEM","SYSTEM","1"
"D","S","13117","S","1030219005","SYSTEM","SYSTEM","1"
"D","S","13118","S","1030202002","SYSTEM","SYSTEM","1"
"D","S","13119","S","1030219006","SYSTEM","SYSTEM","1"
"D","S","13120","S","1030207999","SYSTEM","SYSTEM","1"
"D","S","13121","S","1030212004","SYSTEM","SYSTEM","1"
"D","S","13122","S","1030219999","SYSTEM","SYSTEM","1"
"D","S","13123","S","1030299013","SYSTEM","SYSTEM","1"
"D","S","13124","S","1030213999","SYSTEM","SYSTEM","1"
"D","S","14001","S","1040101013","SYSTEM","SYSTEM","1"
"D","S","14002","S","1040101020","SYSTEM","SYSTEM","1"
"D","S","14003","S","1040102001","SYSTEM","SYSTEM","1"
"D","S","14004","S","1040102008","SYSTEM","SYSTEM","1"
"D","S","14005","S","1040102008","SYSTEM","SYSTEM","1"
"D","S","14006","S","1040102011","SYSTEM","SYSTEM","1"
"D","S","14007","S","1040102012","SYSTEM","SYSTEM","1"
"D","S","14008","S","1040102013","SYSTEM","SYSTEM","1"
"D","S","14009","S","1040102014","SYSTEM","SYSTEM","1"
"D","S","14010","S","1040102017","SYSTEM","SYSTEM","1"
"D","S","14011","S","1040203001","SYSTEM","SYSTEM","1"
"D","S","14012","S","1040203001","SYSTEM","SYSTEM","1"
"D","S","14013","S","1040205999","SYSTEM","SYSTEM","1"
"D","S","14014","S","1040301001","SYSTEM","SYSTEM","1"
"D","S","14015","S","1040302001","SYSTEM","SYSTEM","1"
"D","S","14016","S","1040399999","SYSTEM","SYSTEM","1"
"D","S","14017","S","1040401001","SYSTEM","SYSTEM","1"
"D","S","14018","S","1040504001","SYSTEM","SYSTEM","1"
"D","S","14019","S","1040504001","SYSTEM","SYSTEM","1"
"D","S","14020","S","1040101004","SYSTEM","SYSTEM","1"
"D","S","14021","S","1040103002","SYSTEM","SYSTEM","1"
"D","S","14022","S","1040203005","SYSTEM","SYSTEM","1"
"D","S","14023","S","1040205999","SYSTEM","SYSTEM","1"
"D","S","14024","S","1040101006","SYSTEM","SYSTEM","1"
"D","S","14025","S","1040101002","SYSTEM","SYSTEM","1"
"D","S","14026","S","1040203005","SYSTEM","SYSTEM","1"
"D","S","17001","S","1070504999","SYSTEM","SYSTEM","1"
"D","S","17002","S","1070602001","SYSTEM","SYSTEM","1"
"D","S","17003","S","1070602002","SYSTEM","SYSTEM","1"
"D","S","17004","S","1070602003","SYSTEM","SYSTEM","1"
"D","S","17005","S","1070602999","SYSTEM","SYSTEM","1"
"D","S","17006","S","1070504003","SYSTEM","SYSTEM","1"
"D","S","19001","S","1090101001","SYSTEM","SYSTEM","1"
"D","S","19002","S","1090301001","SYSTEM","SYSTEM","1"
"D","S","19003","S","1099901001","SYSTEM","SYSTEM","1"
"D","S","19004","S","1099902001","SYSTEM","SYSTEM","1"
"D","S","19005","S","1099904001","SYSTEM","SYSTEM","1"
"D","S","19006","S","1099905001","SYSTEM","SYSTEM","1"
"D","S","19007","S","1099906001","SYSTEM","SYSTEM","1"
"D","S","11030","S","1010201001","SYSTEM","SYSTEM","1"
"D","S","11031","S","1010201001","SYSTEM","SYSTEM","1"
"D","S","11032","S","1010201001","SYSTEM","SYSTEM","1"
"D","S","11033","S","1010202001","SYSTEM","SYSTEM","1"
"D","S","11034","S","1010202001","SYSTEM","SYSTEM","1"
"D","S","11035","S","1010202001","SYSTEM","SYSTEM","1"
