CD_COFOG,DS_COFOG,CD_LIVELLO1,CD_LIVELLO2,CD_LIVELLO3,NR_LIVELLO,FL_ACCENTRATO,FL_DECENTRATO,UTCR,UTUV,PG_VER_REC
"04.1.1","Affari generali economici e commerciali","04","04.1","04.1.1",3,"N","N","SYSTEM","SYSTEM","1"
"04.1.2","Affari generali del lavoro","04","04.1","04.1.2",3,"N","N","SYSTEM","SYSTEM","1"
"04.2.1","Agricoltura","04","04.2","04.2.1",3,"N","N","SYSTEM","SYSTEM","1"
"04.2.2","Silvicoltura","04","04.2","04.2.2",3,"N","N","SYSTEM","SYSTEM","1"
"04.2.3","Pesca e caccia","04","04.2","04.2.3",3,"N","N","SYSTEM","SYSTEM","1"
"04.3.1","Carbone ed altri combustibili solidi minerali","04","04.3","04.3.1",3,"N","N","SYSTEM","SYSTEM","1"
"04.3.2","Petrolio e gas naturali","04","04.3","04.3.2",3,"N","N","SYSTEM","SYSTEM","1"
"04.3.3","Combustibili nucleari","04","04.3","04.3.3",3,"N","N","SYSTEM","SYSTEM","1"
"04.3.4","Altri combustibili","04","04.3","04.3.4",3,"N","N","SYSTEM","SYSTEM","1"
"04.3.5","Energia elettrica","04","04.3","04.3.5",3,"N","N","SYSTEM","SYSTEM","1"
"04.3.6","Energia non elettrica","04","04.3","04.3.6",3,"N","N","SYSTEM","SYSTEM","1"
"04.4.1","Attivit? estrattive di minerali diversi dai combustibili","04","04.4","04.4.1",3,"N","N","SYSTEM","SYSTEM","1"
"04.4.2","Attivit? manifatturiere","04","04.4","04.4.2",3,"N","N","SYSTEM","SYSTEM","1"
"04.4.3","Attivit? edilizia","04","04.4","04.4.3",3,"N","N","SYSTEM","SYSTEM","1"
"04.5.1","Trasporti su strada","04","04.5","04.5.1",3,"N","N","SYSTEM","SYSTEM","1"
"04.5.2","Trasporti per vie d'acqua","04","04.5","04.5.2",3,"N","N","SYSTEM","SYSTEM","1"
"04.5.3","Trasporti su rotaia","04","04.5","04.5.3",3,"N","N","SYSTEM","SYSTEM","1"
"04.5.4","Trasporti aerei","04","04.5","04.5.4",3,"N","N","SYSTEM","SYSTEM","1"
"04.5.5","Condotte ed altri sistemi di trasporto","04","04.5","04.5.5",3,"N","N","SYSTEM","SYSTEM","1"
"04.6.1","Comunicazioni","04","04.6","04.6.1",3,"N","N","SYSTEM","SYSTEM","1"
"04.7.1","Distribuzione commerciale, conservazione e magazzinaggio","04","04.7","04.7.1",3,"N","N","SYSTEM","SYSTEM","1"
"04.7.2","Alberghi e pubblici esercizi","04","04.7","04.7.2",3,"N","N","SYSTEM","SYSTEM","1"
"04.7.3","Turismo","04","04.7","04.7.3",3,"N","N","SYSTEM","SYSTEM","1"
"04.7.4","Progetti di sviluppo plurifunzionali","04","04.7","04.7.4",3,"N","N","SYSTEM","SYSTEM","1"
"04.8.1","R&S per gli affari generali economici, commerciali e del lavoro","04","04.8","04.8.1",3,"N","N","SYSTEM","SYSTEM","1"
"04.8.2","R&S per agricoltura, silvicoltura, pesca e caccia","04","04.8","04.8.2",3,"N","N","SYSTEM","SYSTEM","1"
"04.8.3","R&S per combustibili ed energia","04","04.8","04.8.3",3,"N","N","SYSTEM","SYSTEM","1"
"04.8.4","R&S per attivit? estrattive, manifatturiere ed edilizie","04","04.8","04.8.4",3,"N","N","SYSTEM","SYSTEM","1"
"04.8.5","R&S per trasporti","04","04.8","04.8.5",3,"N","N","SYSTEM","SYSTEM","1"
"04.8.6","R&S per comunicazioni","04","04.8","04.8.6",3,"N","N","SYSTEM","SYSTEM","1"
"04.8.7","R&S per altri settori","04","04.8","04.8.7",3,"N","N","SYSTEM","SYSTEM","1"
"04.9.1","R&S per gli affari economici n.a.c.","04","04.9","04.9.1",3,"N","N","SYSTEM","SYSTEM","1"
"05.1.1","Trattamento dei rifiuti","05","05.1","05.1.1",3,"N","N","SYSTEM","SYSTEM","1"
"05.2.1","Trattamento delle acque reflue","05","05.2","05.2.1",3,"N","N","SYSTEM","SYSTEM","1"
"05.3.1","Riduzione dell?inquinamento","05","05.3","05.3.1",3,"N","N","SYSTEM","SYSTEM","1"
"05.4.1","Protezione delle biodiversit? e dei beni paesaggistici","05","05.4","05.4.1",3,"N","N","SYSTEM","SYSTEM","1"
"05.5.1","R&S per la protezione dell'ambiente","05","05.5","05.5.1",3,"N","N","SYSTEM","SYSTEM","1"
"05.6.1","Protezione dell'ambiente n.a.c.","05","05.6","05.6.1",3,"N","N","SYSTEM","SYSTEM","1"
"06.1.1","Sviluppo delle abitazioni","06","06.1","06.1.1",3,"N","N","SYSTEM","SYSTEM","1"
"06.2.1","Assetto territoriale","06","06.2","06.2.1",3,"N","N","SYSTEM","SYSTEM","1"
"06.3.1","Approvvigionamento idrico","06","06.3","06.3.1",3,"N","N","SYSTEM","SYSTEM","1"
"06.4.1","Illuminazione stradale","06","06.4","06.4.1",3,"N","N","SYSTEM","SYSTEM","1"
"06.5.1","R&S per abitazioni e assetto territoriale","06","06.5","06.5.1",3,"N","N","SYSTEM","SYSTEM","1"
"06.6.1","Abitazioni e assetto territoriale n.a.c.","06","06.6","06.6.1",3,"N","N","SYSTEM","SYSTEM","1"
"07.1.1","Prodotti farmaceutici","07","07.1","07.1.1",3,"N","N","SYSTEM","SYSTEM","1"
"07.1.2","Altri prodotti sanitari","07","07.1","07.1.2",3,"N","N","SYSTEM","SYSTEM","1"
"07.1.3","Apparecchi e attrezzature terapeutiche","07","07.1","07.1.3",3,"N","N","SYSTEM","SYSTEM","1"
"07.2.2","Servizi medici specialistici","07","07.2","07.2.2",3,"N","N","SYSTEM","SYSTEM","1"
"07.2.3","Servizi odontoiatrici","07","07.2","07.2.3",3,"N","N","SYSTEM","SYSTEM","1"
"07.2.4","Servizi paramedici","07","07.2","07.2.4",3,"N","N","SYSTEM","SYSTEM","1"
"07.3.1","Servizi ospedalieri generici","07","07.3","07.3.1",3,"N","N","SYSTEM","SYSTEM","1"
