PG_COMUNE,CD_CAP,UTCR,UTUV,PG_VER_REC
3831,"20148","SYSTEM","SYSTEM","1"
3831,"20149","SYSTEM","SYSTEM","1"
3831,"20150","SYSTEM","SYSTEM","1"
3831,"20151","SYSTEM","SYSTEM","1"
3831,"20152","SYSTEM","SYSTEM","1"
3831,"20153","SYSTEM","SYSTEM","1"
3831,"20154","SYSTEM","SYSTEM","1"
3831,"20155","SYSTEM","SYSTEM","1"
3831,"20156","SYSTEM","SYSTEM","1"
3831,"20157","SYSTEM","SYSTEM","1"
3831,"20158","SYSTEM","SYSTEM","1"
3831,"20159","SYSTEM","SYSTEM","1"
3831,"20160","SYSTEM","SYSTEM","1"
3831,"20161","SYSTEM","SYSTEM","1"
3831,"20162","SYSTEM","SYSTEM","1"
3868,"41040","SYSTEM","SYSTEM","1"
3868,"41121","SYSTEM","SYSTEM","1"
3868,"41122","SYSTEM","SYSTEM","1"
3868,"41123","SYSTEM","SYSTEM","1"
3868,"41124","SYSTEM","SYSTEM","1"
3868,"41125","SYSTEM","SYSTEM","1"
3868,"41126","SYSTEM","SYSTEM","1"
4141,"00015","SYSTEM","SYSTEM","1"
4141,"00016","SYSTEM","SYSTEM","1"
4208,"40040","SYSTEM","SYSTEM","1"
4305,"80121","SYSTEM","SYSTEM","1"
4305,"80122","SYSTEM","SYSTEM","1"
4305,"80123","SYSTEM","SYSTEM","1"
4305,"80124","SYSTEM","SYSTEM","1"
4305,"80125","SYSTEM","SYSTEM","1"
4305,"80126","SYSTEM","SYSTEM","1"
4305,"80127","SYSTEM","SYSTEM","1"
4305,"80128","SYSTEM","SYSTEM","1"
4305,"80129","SYSTEM","SYSTEM","1"
4305,"80130","SYSTEM","SYSTEM","1"
4305,"80131","SYSTEM","SYSTEM","1"
4305,"80132","SYSTEM","SYSTEM","1"
4305,"80133","SYSTEM","SYSTEM","1"
4305,"80134","SYSTEM","SYSTEM","1"
4305,"80135","SYSTEM","SYSTEM","1"
4305,"80136","SYSTEM","SYSTEM","1"
4305,"80137","SYSTEM","SYSTEM","1"
4305,"80138","SYSTEM","SYSTEM","1"
4305,"80139","SYSTEM","SYSTEM","1"
4305,"80140","SYSTEM","SYSTEM","1"
4305,"80141","SYSTEM","SYSTEM","1"
4305,"80142","SYSTEM","SYSTEM","1"
4305,"80143","SYSTEM","SYSTEM","1"
4305,"80144","SYSTEM","SYSTEM","1"
4305,"80145","SYSTEM","SYSTEM","1"
4305,"80146","SYSTEM","SYSTEM","1"
4305,"80147","SYSTEM","SYSTEM","1"
4485,"58010","SYSTEM","SYSTEM","1"
4598,"35121","SYSTEM","SYSTEM","1"
4598,"35122","SYSTEM","SYSTEM","1"
4598,"35123","SYSTEM","SYSTEM","1"
4598,"35124","SYSTEM","SYSTEM","1"
4598,"35125","SYSTEM","SYSTEM","1"
4598,"35126","SYSTEM","SYSTEM","1"
4598,"35127","SYSTEM","SYSTEM","1"
4598,"35128","SYSTEM","SYSTEM","1"
4598,"35129","SYSTEM","SYSTEM","1"
4598,"35130","SYSTEM","SYSTEM","1"
4598,"35131","SYSTEM","SYSTEM","1"
4598,"35132","SYSTEM","SYSTEM","1"
4598,"35133","SYSTEM","SYSTEM","1"
4598,"35134","SYSTEM","SYSTEM","1"
4598,"35135","SYSTEM","SYSTEM","1"
4598,"35136","SYSTEM","SYSTEM","1"
4598,"35137","SYSTEM","SYSTEM","1"
4598,"35138","SYSTEM","SYSTEM","1"
4598,"35139","SYSTEM","SYSTEM","1"
4598,"35140","SYSTEM","SYSTEM","1"
4598,"35141","SYSTEM","SYSTEM","1"
4598,"35142","SYSTEM","SYSTEM","1"
4598,"35143","SYSTEM","SYSTEM","1"
4600,"84030","SYSTEM","SYSTEM","1"
4636,"90121","SYSTEM","SYSTEM","1"
4636,"90123","SYSTEM","SYSTEM","1"
4636,"90124","SYSTEM","SYSTEM","1"
4636,"90125","SYSTEM","SYSTEM","1"
4636,"90126","SYSTEM","SYSTEM","1"
4636,"90127","SYSTEM","SYSTEM","1"
4636,"90128","SYSTEM","SYSTEM","1"
4636,"90129","SYSTEM","SYSTEM","1"
4636,"90130","SYSTEM","SYSTEM","1"
4636,"90131","SYSTEM","SYSTEM","1"
4636,"90133","SYSTEM","SYSTEM","1"
4636,"90134","SYSTEM","SYSTEM","1"
4636,"90135","SYSTEM","SYSTEM","1"
4636,"90136","SYSTEM","SYSTEM","1"
4636,"90138","SYSTEM","SYSTEM","1"
4636,"90139","SYSTEM","SYSTEM","1"
4636,"90140","SYSTEM","SYSTEM","1"
4636,"90141","SYSTEM","SYSTEM","1"
4636,"90142","SYSTEM","SYSTEM","1"
4636,"90143","SYSTEM","SYSTEM","1"
4636,"90144","SYSTEM","SYSTEM","1"
4636,"90145","SYSTEM","SYSTEM","1"
4636,"90146","SYSTEM","SYSTEM","1"
4636,"90147","SYSTEM","SYSTEM","1"
4636,"90149","SYSTEM","SYSTEM","1"
4636,"90150","SYSTEM","SYSTEM","1"
4636,"90151","SYSTEM","SYSTEM","1"
4683,"43010","SYSTEM","SYSTEM","1"
4683,"43100","SYSTEM","SYSTEM","1"
4683,"43121","SYSTEM","SYSTEM","1"
4683,"43122","SYSTEM","SYSTEM","1"
4683,"43123","SYSTEM","SYSTEM","1"
4683,"43124","SYSTEM","SYSTEM","1"
4683,"43125","SYSTEM","SYSTEM","1"
4683,"43126","SYSTEM","SYSTEM","1"
4788,"06121","SYSTEM","SYSTEM","1"
4788,"06122","SYSTEM","SYSTEM","1"
4788,"06123","SYSTEM","SYSTEM","1"
4788,"06124","SYSTEM","SYSTEM","1"
4788,"06125","SYSTEM","SYSTEM","1"
4788,"06126","SYSTEM","SYSTEM","1"
4788,"06127","SYSTEM","SYSTEM","1"
4788,"06128","SYSTEM","SYSTEM","1"
4788,"06129","SYSTEM","SYSTEM","1"
4788,"06130","SYSTEM","SYSTEM","1"
4788,"06131","SYSTEM","SYSTEM","1"
4788,"06132","SYSTEM","SYSTEM","1"
4788,"06133","SYSTEM","SYSTEM","1"
4788,"06134","SYSTEM","SYSTEM","1"
4788,"06135","SYSTEM","SYSTEM","1"
4789,"61121","SYSTEM","SYSTEM","1"
4789,"61122","SYSTEM","SYSTEM","1"
4792,"65121","SYSTEM","SYSTEM","1"
4792,"65122","SYSTEM","SYSTEM","1"
4792,"65123","SYSTEM","SYSTEM","1"
4792,"65124","SYSTEM","SYSTEM","1"
4792,"65125","SYSTEM","SYSTEM","1"
4792,"65126","SYSTEM","SYSTEM","1"
4792,"65127","SYSTEM","SYSTEM","1"
4792,"65128","SYSTEM","SYSTEM","1"
4792,"65129","SYSTEM","SYSTEM","1"
4834,"29121","SYSTEM","SYSTEM","1"
4834,"29122","SYSTEM","SYSTEM","1"
4841,"81015","SYSTEM","SYSTEM","1"
4964,"56121","SYSTEM","SYSTEM","1"
4964,"56122","SYSTEM","SYSTEM","1"
4964,"56123","SYSTEM","SYSTEM","1"
4964,"56124","SYSTEM","SYSTEM","1"
4964,"56125","SYSTEM","SYSTEM","1"
4964,"56126","SYSTEM","SYSTEM","1"
4964,"56127","SYSTEM","SYSTEM","1"
4964,"56128","SYSTEM","SYSTEM","1"
4972,"51030","SYSTEM","SYSTEM","1"
5326,"48121","SYSTEM","SYSTEM","1"
5326,"48122","SYSTEM","SYSTEM","1"
5326,"48123","SYSTEM","SYSTEM","1"
5326,"48124","SYSTEM","SYSTEM","1"
5326,"48125","SYSTEM","SYSTEM","1"
5343,"89121","SYSTEM","SYSTEM","1"
5343,"89122","SYSTEM","SYSTEM","1"
5343,"89123","SYSTEM","SYSTEM","1"
5343,"89124","SYSTEM","SYSTEM","1"
5343,"89125","SYSTEM","SYSTEM","1"
5343,"89126","SYSTEM","SYSTEM","1"
5343,"89127","SYSTEM","SYSTEM","1"
5343,"89128","SYSTEM","SYSTEM","1"
5343,"89129","SYSTEM","SYSTEM","1"
5343,"89130","SYSTEM","SYSTEM","1"
5343,"89131","SYSTEM","SYSTEM","1"
5343,"89132","SYSTEM","SYSTEM","1"
5343,"89133","SYSTEM","SYSTEM","1"
5343,"89134","SYSTEM","SYSTEM","1"
5343,"89135","SYSTEM","SYSTEM","1"
5345,"42121","SYSTEM","SYSTEM","1"
5345,"42122","SYSTEM","SYSTEM","1"
5345,"42123","SYSTEM","SYSTEM","1"
5345,"42124","SYSTEM","SYSTEM","1"
5521,"58027","SYSTEM","SYSTEM","1"
5562,"00118","SYSTEM","SYSTEM","1"
5562,"00119","SYSTEM","SYSTEM","1"
5562,"00120","SYSTEM","SYSTEM","1"
5562,"00121","SYSTEM","SYSTEM","1"
5562,"00122","SYSTEM","SYSTEM","1"
5562,"00123","SYSTEM","SYSTEM","1"
5562,"00124","SYSTEM","SYSTEM","1"
5562,"00125","SYSTEM","SYSTEM","1"
5562,"00126","SYSTEM","SYSTEM","1"
5562,"00127","SYSTEM","SYSTEM","1"
5562,"00128","SYSTEM","SYSTEM","1"
5562,"00129","SYSTEM","SYSTEM","1"
5562,"00130","SYSTEM","SYSTEM","1"
5562,"00131","SYSTEM","SYSTEM","1"
5562,"00132","SYSTEM","SYSTEM","1"
5562,"00133","SYSTEM","SYSTEM","1"
5562,"00134","SYSTEM","SYSTEM","1"
5562,"00135","SYSTEM","SYSTEM","1"
5562,"00136","SYSTEM","SYSTEM","1"
5562,"00137","SYSTEM","SYSTEM","1"
5562,"00138","SYSTEM","SYSTEM","1"
5562,"00139","SYSTEM","SYSTEM","1"
5562,"00140","SYSTEM","SYSTEM","1"
5562,"00141","SYSTEM","SYSTEM","1"
5562,"00142","SYSTEM","SYSTEM","1"
5562,"00143","SYSTEM","SYSTEM","1"
5562,"00144","SYSTEM","SYSTEM","1"
5562,"00145","SYSTEM","SYSTEM","1"
5562,"00146","SYSTEM","SYSTEM","1"
5562,"00147","SYSTEM","SYSTEM","1"
5562,"00148","SYSTEM","SYSTEM","1"
5562,"00149","SYSTEM","SYSTEM","1"
5562,"00150","SYSTEM","SYSTEM","1"
5562,"00151","SYSTEM","SYSTEM","1"
5562,"00152","SYSTEM","SYSTEM","1"
5562,"00153","SYSTEM","SYSTEM","1"
5562,"00154","SYSTEM","SYSTEM","1"
5562,"00155","SYSTEM","SYSTEM","1"
5562,"00156","SYSTEM","SYSTEM","1"
5562,"00157","SYSTEM","SYSTEM","1"
5562,"00158","SYSTEM","SYSTEM","1"
5562,"00159","SYSTEM","SYSTEM","1"
5562,"00160","SYSTEM","SYSTEM","1"
5562,"00161","SYSTEM","SYSTEM","1"
5562,"00162","SYSTEM","SYSTEM","1"
5562,"00163","SYSTEM","SYSTEM","1"
5562,"00164","SYSTEM","SYSTEM","1"
5562,"00165","SYSTEM","SYSTEM","1"
5562,"00166","SYSTEM","SYSTEM","1"
5562,"00167","SYSTEM","SYSTEM","1"
