"esercizio","ti_appartenenza","ti_gestione","cd_elemento_voce","cd_elemento_voce_coll","ti_appartenenza_coll","ti_gestione_coll","cd_cds","cd_natura","ti_elemento_voce","ti_elemento_voce_coll","utuv","dacr","utcr","duva","pg_ver_rec"
"2017","C","E","1054","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1055","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1056","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1057","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1058","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1059","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1060","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1061","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1062","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1063","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1064","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1065","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1066","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
