"cd_nodo","ds_nodo","cd_accesso","business_process","pg_ordinamento","fl_terminale","livello","url_icona","cd_proprio_nodo","dacr","utcr","duva","utuv","pg_ver_rec","cd_nodo_padre","url_icona_open"
"0.CFG.INCARICHI.TABRIF.REPLIM.V","visualizzazione","CFGINCARICHIREPLIMV","CRUDConfigRepertorioLimitiBP","20","Y","5","NULL","V","2007-09-25T00:00:00.000","S.I.","2007-09-25T00:00:00.000","S.I.","1","0.CFG.INCARICHI.TABRIF.REPLIM","NULL"
"0.CFG.INCARICHI.TABRIF.TEMAATT","Tematica Attivita'","NULL","NULL","60","N","5","NULL","TEMAATT","2007-09-25T00:00:00.000","S.I.","2007-09-25T00:00:00.000","S.I.","1","0.CFG.INCARICHI.TABRIF","NULL"
"0.DOC.CON.WORKPCK.CONSOBBLRIP","Impegni Riportabili","CONSOBBLRIPORTABILI","ConsObbligazioniRiportabiliBP","20","Y","4","NULL","CONSOBBLRIP","2005-07-04T17:42:29.000","AMMINISTRATORE","2005-07-04T17:42:29.000","AMMINISTRATORE","1","0.DOC.CON.WORKPCK","NULL"
"0.CNS.PDGING.SITANA.SANACR","spese anno corrente","CNSPDGINGCORESANACR","StampaAnaliticaSpeseLdaComresBP","1","Y","5","NULL","SANACR","2005-07-04T17:43:47.000","AMMINISTRATORE","2005-07-04T17:43:47.000","AMMINISTRATORE","1","0.CNS.PDGING.SITANA","NULL"
"0.CNS.PDGING.SITSIN.SSINCR","spese anno corrente ","CNSPDGINGCORESSINCR","StampaSinteticaSpeseLdaComresBP","1","Y","5","NULL","SSINCR","2005-07-04T17:43:47.000","AMMINISTRATORE","2005-07-04T17:43:47.000","AMMINISTRATORE","1","0.CNS.PDGING.SITSIN","NULL"
"0.COANCOEP.CON","Consultazioni","NULL","NULL","40","N","2","book_closed.gif","CON","2005-08-05T11:07:14.000","AMMINISTRATORE","2005-08-05T11:07:14.000","AMMINISTRATORE","1","0.COANCOEP","book_opened.gif"
"0.COANCOEP.CON.REGECPAT","Registrazione Economico-Patrimoniale","NULL","NULL","10","N","3","NULL","INVENT","2005-08-05T11:07:14.000","AMMINISTRATORE","2005-08-05T11:07:14.000","AMMINISTRATORE","1","0.COANCOEP.CON","NULL"
"0.COANCOEP.CON.REGECPAT.SCHEDAANCONTO","Scheda Analitica Conto","CONSSCHEDAANCONTO","ConsSchedaAnaliticaContoBP","10","Y","4","NULL","SCHEDAANCONTO","2005-08-05T11:07:14.000","AMMINISTRATORE","2005-08-05T11:07:14.000","AMMINISTRATORE","1","0.COANCOEP.CON.REGECPAT","NULL"
"0.PRV.PDGEST.VARIAZIONI","Variazioni","NULL","NULL","40","N","3","NULL","VARIAZIONI","2005-08-05T11:14:18.000","SPASIA","2005-08-05T11:14:18.000","SPASIA","1","0.PRV.PDGEST","NULL"
"0.PRV.PDGEST.VARIAZIONI.M","gestione","PRVPDGVARIAZIONIM","PdGVariazioneBP","10","Y","4","NULL","M","2005-08-05T11:14:18.000","SPASIA","2005-08-05T11:14:18.000","SPASIA","1","0.PRV.PDGEST.VARIAZIONI","NULL"
