"cd_trattamento","cd_contributo_ritenuta","dt_inizio_validita","id_riga","segno","calcolo_imponibile","dt_fine_validita","dacr","utcr","duva","utuv","pg_ver_rec"
"R048SP","IVA","2017-07-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"R019SP","RIVALSA2","2017-07-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"R019SP","IVA","2017-07-01T00:00:00.000","002","+","+001E","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"R019SP","RAIRPEF","2017-07-01T00:00:00.000","003","-","000","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"R021SP","RIVALSA4","2017-07-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"R021SP","IVA","2017-07-01T00:00:00.000","002","+","+001E","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"R021SP","RAIRPEF","2017-07-01T00:00:00.000","003","-","+001E","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"R121SP","RIVALSA4CP","2017-07-01T00:00:00.000","001","+","000","2200-12-31T01:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"R121SP","IVA","2017-07-01T00:00:00.000","002","+","+001E","2200-12-31T01:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"R121SP","RAIRPEF","2017-07-01T00:00:00.000","003","-","000","2200-12-31T01:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"R048SP","RAIRPEF","2017-07-01T00:00:00.000","002","-","000","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T021SP","IVA","2017-07-01T00:00:00.000","002","+","+001E","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T019SP","RIVALSA2","2017-07-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T019SP","IVA","2017-07-01T00:00:00.000","002","+","+001E","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T019SP","RAIRPEF","2017-07-01T00:00:00.000","003","-","000","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T021SP","RIVALSA4","2017-07-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T021SP","RAIRPEF","2017-07-01T00:00:00.000","003","-","+001E","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T142SP","RIVALSA4","2017-07-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T142SP","IVA","2017-07-01T00:00:00.000","002","+","+001E","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T159SP","IVA","2017-07-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T190SP","RIVALSA2","2017-07-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T190SP","IVA","2017-07-01T00:00:00.000","002","+","+001E","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T191SP","IVA","2017-07-01T00:00:00.000","002","+","+001E","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T191SP","RIVALSA4CP","2017-07-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T255SP","RIVALSA2","2017-07-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T255SP","IVA","2017-07-01T00:00:00.000","002","+","+001E","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T256SP","RIVALSA4CP","2017-07-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
