"cd_ti_pasto","ti_area_geografica","pg_nazione","pg_rif_inquadramento","dt_inizio_validita","cd_divisa","limite_max_pasto","dt_fine_validita","dt_cancellazione","duva","utcr","dacr","utuv","pg_ver_rec","cd_area_estera"
"GIORNALIERO","E","0","64","2010-05-31T00:00:00.000","EURO","61.10","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"PASTO_SINGOLO","E","0","64","2010-05-31T00:00:00.000","EURO","30.55","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"GIORNALIERO","E","0","65","2010-05-31T00:00:00.000","EURO","61.10","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"PASTO_SINGOLO","E","0","65","2010-05-31T00:00:00.000","EURO","30.55","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"GIORNALIERO","E","0","75","2010-05-31T00:00:00.000","EURO","61.10","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"PASTO_SINGOLO","E","0","75","2010-05-31T00:00:00.000","EURO","30.55","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"GIORNALIERO","E","0","80","2010-05-31T00:00:00.000","EURO","61.10","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"PASTO_SINGOLO","E","0","80","2010-05-31T00:00:00.000","EURO","30.55","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"GIORNALIERO","E","0","1","2010-05-31T00:00:00.000","EURO","61.10","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"PASTO_SINGOLO","E","0","1","2010-05-31T00:00:00.000","EURO","30.55","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"GIORNALIERO","E","0","2","2010-05-31T00:00:00.000","EURO","61.10","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"PASTO_SINGOLO","E","0","2","2010-05-31T00:00:00.000","EURO","30.55","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"GIORNALIERO","E","0","3","2010-05-31T00:00:00.000","EURO","61.10","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"PASTO_SINGOLO","E","0","3","2010-05-31T00:00:00.000","EURO","30.55","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"GIORNALIERO","E","0","4","2010-05-31T00:00:00.000","EURO","61.10","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
