"cd_tipo_ammortamento","ti_ammortamento","cd_categoria_gruppo","esercizio_competenza","dt_cancellazione","utcr","dacr","utuv","duva","pg_ver_rec"
"10","O","3.6721","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.8602","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.803","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.6882","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.4487","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.4761","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.4840","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.4842","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.4486","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.4201","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.5361","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.1503","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.5001","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.7800","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"14","O","6.9991","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"09","O","1.5043","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","MIGRA","2003-03-27T00:00:00.000","1"
"01","O","12.1","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","MATRASCIA","2004-03-30T16:53:45.000","1"
"10","O","3.3721","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.3161","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.5842","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.4522","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.721","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.722","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.761","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.7605","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.441","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
