"cd_trattamento","cd_ti_compenso","dt_inizio_validita","ds_ti_compenso","fl_registra_fattura","fl_diaria","dt_fine_validita","duva","utcr","dacr","utuv","pg_ver_rec"
"T134C","M","2005-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2006-03-01T00:00:00.000","CED","2006-03-01T00:00:00.000","CED","1"
"T140","M","2005-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2006-03-01T00:00:00.000","CED","2006-03-01T00:00:00.000","CED","1"
"T121C","A","2005-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2006-03-01T00:00:00.000","CED","2006-03-01T00:00:00.000","CED","1"
"T048CSC","A","2005-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2006-03-01T00:00:00.000","CED","2006-03-01T00:00:00.000","CED","1"
"T056","B","2010-01-01T00:00:00.000","Utilizzazione economica da parte dell'autore o dell'inventore di brevetti","N","N","2050-12-31T00:00:00.000","2010-05-19T00:00:00.000","CED","2010-05-19T00:00:00.000","CED","1"
"T057","B","2010-01-01T00:00:00.000","Utilizzazione economica da parte dell'autore o dell'inventore di brevetti","N","N","2050-12-31T00:00:00.000","2010-05-19T00:00:00.000","CED","2010-05-19T00:00:00.000","CED","1"
"T058","L","2010-01-01T00:00:00.000","Utilizzazione economica da parte di soggetto diverso dall'autore o dall'inventore di brevetti","N","N","2050-12-31T00:00:00.000","2010-05-19T00:00:00.000","CED","2010-05-19T00:00:00.000","CED","1"
"T126","M","2004-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2005-01-25T00:00:00.000","CED","2005-01-25T00:00:00.000","CED","1"
"T123S","M","2004-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2005-01-25T00:00:00.000","CED","2005-01-25T00:00:00.000","CED","1"
"T123","M","2004-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2005-01-25T00:00:00.000","CED","2005-01-25T00:00:00.000","CED","1"
"T124S","M","2004-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2005-01-25T00:00:00.000","CED","2005-01-25T00:00:00.000","CED","1"
"T121CSC","A","2009-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2010-03-05T00:00:00.000","CED","2010-03-05T00:00:00.000","CED","1"
"T134SC","M","2009-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2010-03-05T00:00:00.000","CED","2010-03-05T00:00:00.000","CED","1"
"T086","X","2010-01-01T00:00:00.000","Premi per concorsi","N","N","2050-12-31T00:00:00.000","2011-03-08T00:00:00.000","CED","2011-03-08T00:00:00.000","CED","1"
"T086C","X","2010-01-01T00:00:00.000","Premi per concorsi","N","N","2050-12-31T00:00:00.000","2011-03-08T00:00:00.000","CED","2011-03-08T00:00:00.000","CED","1"
"T043SC","01","2010-01-01T00:00:00.000","Assegno di ricerca","N","N","2050-12-31T00:00:00.000","2011-03-08T00:00:00.000","CED","2011-03-08T00:00:00.000","CED","1"
"T043CSC","01","2010-01-01T00:00:00.000","Assegno di ricerca","N","N","2050-12-31T00:00:00.000","2011-03-08T00:00:00.000","CED","2011-03-08T00:00:00.000","CED","1"
"T043SC","01","2007-01-01T00:00:00.000","Assegno di ricerca","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
