"esercizio","cd_causale_coge","ds_causale","ti_causale_coge","centro_costo","dt_cancellazione","dacr","duva","utuv","utcr","pg_ver_rec"
"2005","DETERMINAZIONE_UTILE_PERDITA","Determinazione utile/perdita d'esercizio","A","NULL","NULL","2004-12-30T12:04:56.000","2004-12-30T12:04:56.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2005","DISMISSIONE_BENE_DUREVOLE","Dismissione di bene durevole","A","NULL","NULL","2004-12-30T12:04:56.000","2004-12-30T12:04:56.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2005","PERDITE_SU_CAMBI","Perdite su cambi per crediti/debiti","A","NULL","NULL","2004-12-30T12:04:56.000","2004-12-30T12:04:56.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2005","RATEI","Ratei","A","NULL","NULL","2004-12-30T12:04:56.000","2004-12-30T12:04:56.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2005","RATEI_P2","Ratei parte 2","A","NULL","NULL","2004-12-30T12:04:56.000","2004-12-30T12:04:56.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2005","RIAPERTURA_CONTI","Riapertura dei conti","A","NULL","NULL","2004-12-30T12:04:56.000","2004-12-30T12:04:56.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2005","RISCONTI","Risconti","A","NULL","NULL","2004-12-30T12:04:56.000","2004-12-30T12:04:56.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2005","RISCONTI_P2","Risconti parte 2","A","NULL","NULL","2004-12-30T12:04:56.000","2004-12-30T12:04:56.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2005","UTILE_SU_CAMBI","Utile su cambi per crediti/debiti","A","NULL","NULL","2004-12-30T12:04:56.000","2004-12-30T12:04:56.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2005","PAGAMENTO_1210","Pagamento documento con modulo 1210","A","NULL","NULL","2004-12-30T12:04:56.000","2004-12-30T12:04:56.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2005","CASSA_BANCA","Scrittura cassa banca","A","NULL","NULL","2004-12-30T12:04:56.000","2004-12-30T12:04:56.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2005","LIQUID_IVA_VENDITE","Liquidazione IVA vendite","A","NULL","NULL","2004-12-30T12:04:56.000","2004-12-30T12:04:56.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2005","LIQUID_IVA_ACQUISTI","Liquidazione IVA acquisti","A","NULL","NULL","2004-12-30T12:04:56.000","2004-12-30T12:04:56.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
