"pg_comune","cd_cap","utcr","duva","utuv","dacr","pg_ver_rec"
"5562","00180","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00181","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00182","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00183","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00184","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00185","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00186","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00187","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00188","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00189","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00190","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00191","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00192","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00193","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00195","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00196","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00197","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00198","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00199","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5710","84121","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5710","84122","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5710","84123","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5710","84124","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5710","84125","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5710","84126","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5710","84127","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5710","84128","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5710","84129","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5710","84130","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5710","84131","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5710","84132","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5710","84133","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5710","84134","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5710","84135","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10121","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10122","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10123","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"2850","36053","PG","2004-12-10T00:00:00.000","PG","2004-12-10T00:00:00.000","1"
"4972","51030","pg","2006-08-28T19:19:41.000","pg","2006-08-28T19:19:44.000","1"
"6874","10124","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10125","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10126","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10127","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10128","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10129","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10130","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10131","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10132","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10133","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10134","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10135","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10136","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10137","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10138","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10139","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10140","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10141","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10142","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10143","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10144","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10145","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10146","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10147","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10148","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10149","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10150","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10151","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10152","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10153","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10154","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10155","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"6874","10156","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4141","00015","PAOLA","2003-02-04T00:00:00.000","PAOLA","2003-02-04T00:00:00.000","1"
"4141","00016","PAOLA","2003-02-04T00:00:00.000","PAOLA","2003-02-04T00:00:00.000","1"
"2542","02032","PG","2003-03-25T00:00:00.000","PG","2003-03-25T00:00:00.000","1"
"2542","02036","PG","2003-03-25T00:00:00.000","PG","2003-03-25T00:00:00.000","1"
"6280","07040","PG","2003-07-23T10:34:40.000","PG","2003-07-23T10:34:56.000","1"
"1438","56023","CNR","2003-04-15T00:00:00.000","CNR","2003-04-15T00:00:00.000","1"
"4208","40040","CINSAN","2003-09-16T00:00:00.000","CINSAN","2003-09-16T00:00:00.000","1"
"4600","84030","CNR","2003-04-15T00:00:00.000","CNR","2003-04-15T00:00:00.000","1"
"1945","66013","CNR","2003-04-15T00:00:00.000","CNR","2003-04-15T00:00:00.000","1"
"7611","00054","CNR-GARZENINI","2003-09-19T11:34:19.000","CNR-GARZENINI","2003-09-19T11:34:27.000","1"
"7611","00050","CNR-GARZENINI","2003-09-19T11:34:54.000","CNR-GARZENINI","2003-09-19T11:35:00.000","1"
"6467","50019","CNR-PG","2004-05-19T14:49:18.000","CNR-PG","2004-05-19T14:49:16.000","1"
